Seed   | Worker Acc   | Manager Acc  | CEO Acc     
-------------------------------------------------------
70     |    100.00% |    100.00% |     99.00%
71     |     80.27% |     88.08% |     99.00%
72     |     97.44% |     98.30% |    100.00%
73     |    100.00% |    100.00% |    100.00%
74     |     87.81% |     98.10% |     97.50%
75     |     99.94% |     99.50% |     94.00%
76     |    100.00% |     98.78% |    100.00%
77     |     92.58% |     50.52% |     89.50%
78     |     90.99% |     89.00% |     98.00%
79     |     85.84% |     55.60% |     96.00%
80     |    100.00% |    100.00% |    100.00%
81     |    100.00% |     86.42% |     90.50%
82     |    100.00% |     99.95% |     99.50%
83     |    100.00% |    100.00% |    100.00%
84     |     98.66% |    100.00% |     98.50%
85     |    100.00% |     99.98% |     99.50%
86     |     93.29% |     94.12% |     99.50%
87     |     97.69% |     99.02% |     98.50%
88     |     92.43% |     98.10% |     99.50%
89     |     97.67% |     87.90% |     98.00%
90     |     99.85% |     96.65% |     93.50%
91     |     96.66% |     99.98% |     99.00%
92     |     99.89% |     95.53% |     88.50%
93     |     99.90% |     98.60% |     99.00%
94     |     68.64% |     84.58% |     98.00%
95     |     95.38% |     97.28% |     99.50%
96     |     97.05% |     86.33% |     98.50%
97     |     99.39% |     99.88% |     99.50%
98     |     58.41% |     73.15% |     97.00%
99     |     94.32% |     99.90% |     94.50%
=======================================================
MEAN   |     94.14% |     92.51% |     97.45%
=======================================================
