workers    | r_scale_0       | mean: 0.3100  std: 0.7763
workers    | r_scale_1       | mean: 0.3086  std: 0.7937
workers    | r_scale_2       | mean: 0.3391  std: 0.8007
workers    | r_scale_3       | mean: 0.3944  std: 0.8030
workers    | r_scale_4       | mean: 0.4292  std: 0.8095
workers    | r_scale_5       | mean: 0.4543  std: 0.8081
workers    | r_scale_6       | mean: 0.4767  std: 0.8066
workers    | r_scale_7       | mean: 0.4975  std: 0.8041
workers    | r_scale_8       | mean: 0.5169  std: 0.7983
workers    | r_scale_9       | mean: 0.5406  std: 0.7853

managers   | r_scale_0       | mean: 0.6134  std: 0.5658
managers   | r_scale_1       | mean: 0.6906  std: 0.5507
managers   | r_scale_2       | mean: 0.7066  std: 0.5780
managers   | r_scale_3       | mean: 0.7226  std: 0.6035
managers   | r_scale_4       | mean: 0.7401  std: 0.6195
managers   | r_scale_5       | mean: 0.7618  std: 0.6107
managers   | r_scale_6       | mean: 0.7832  std: 0.5951
managers   | r_scale_7       | mean: 0.8039  std: 0.5795
managers   | r_scale_8       | mean: 0.8244  std: 0.5506
managers   | r_scale_9       | mean: 0.8475  std: 0.5101

CEOs       | r_scale_0       | mean: 0.4873  std: 0.6791
CEOs       | r_scale_1       | mean: 0.5291  std: 0.6735
CEOs       | r_scale_2       | mean: 0.5479  std: 0.7054
CEOs       | r_scale_3       | mean: 0.5985  std: 0.7088
CEOs       | r_scale_4       | mean: 0.6482  std: 0.6885
CEOs       | r_scale_5       | mean: 0.6841  std: 0.6691
CEOs       | r_scale_6       | mean: 0.7082  std: 0.6594
CEOs       | r_scale_7       | mean: 0.7294  std: 0.6476
CEOs       | r_scale_8       | mean: 0.7466  std: 0.6374
CEOs       | r_scale_9       | mean: 0.7708  std: 0.6103

saved embedding_pca.png
